epsilon,rep,race,n,Accuracy
0.1,0,AfricanAmerican,3821,0.5113844543313268
0.1,0,Asian,115,0.3826086956521739
0.1,0,Caucasian,14970,0.4987307949231797
0.1,0,Hispanic,410,0.43658536585365854
0.1,0,Other,295,0.4406779661016949
0.1,1,AfricanAmerican,3821,0.5420047108086888
0.1,1,Asian,115,0.5478260869565217
0.1,1,Caucasian,14970,0.5366733466933867
0.1,1,Hispanic,410,0.5585365853658537
0.1,1,Other,295,0.6
0.1,2,AfricanAmerican,3821,0.4990840094216174
0.1,2,Asian,115,0.391304347826087
0.1,2,Caucasian,14970,0.5139612558450234
0.1,2,Hispanic,410,0.4292682926829268
0.1,2,Other,295,0.5457627118644067
0.1,3,AfricanAmerican,3821,0.5011777021722063
0.1,3,Asian,115,0.3826086956521739
0.1,3,Caucasian,14970,0.5162992651970608
0.1,3,Hispanic,410,0.5560975609756098
0.1,3,Other,295,0.4135593220338983
0.1,4,AfricanAmerican,3821,0.5370321905260403
0.1,4,Asian,115,0.4434782608695652
0.1,4,Caucasian,14970,0.5249164996659986
0.1,4,Hispanic,410,0.5658536585365853
0.1,4,Other,295,0.4610169491525424
0.1,5,AfricanAmerican,3821,0.5367704789322167
0.1,5,Asian,115,0.3826086956521739
0.1,5,Caucasian,14970,0.5201736806947228
0.1,5,Hispanic,410,0.424390243902439
0.1,5,Other,295,0.3898305084745763
0.1,6,AfricanAmerican,3821,0.5320596702433917
0.1,6,Asian,115,0.5652173913043478
0.1,6,Caucasian,14970,0.5211088844355377
0.1,6,Hispanic,410,0.5195121951219512
0.1,6,Other,295,0.5220338983050847
0.1,7,AfricanAmerican,3821,0.5160952630201517
0.1,7,Asian,115,0.6173913043478261
0.1,7,Caucasian,14970,0.5340681362725451
0.1,7,Hispanic,410,0.4951219512195122
0.1,7,Other,295,0.38305084745762713
0.1,8,AfricanAmerican,3821,0.5129547238942685
0.1,8,Asian,115,0.6173913043478261
0.1,8,Caucasian,14970,0.5068804275217101
0.1,8,Hispanic,410,0.4585365853658537
0.1,8,Other,295,0.5322033898305085
0.1,9,AfricanAmerican,3821,0.4883538340748495
0.1,9,Asian,115,0.4
0.1,9,Caucasian,14970,0.5014028056112224
0.1,9,Hispanic,410,0.5195121951219512
0.1,9,Other,295,0.5627118644067797
0.1,10,AfricanAmerican,3821,0.533891651400157
0.1,10,Asian,115,0.6
0.1,10,Caucasian,14970,0.5201068804275217
0.1,10,Hispanic,410,0.43902439024390244
0.1,10,Other,295,0.43389830508474575
0.1,11,AfricanAmerican,3821,0.5409578644333944
0.1,11,Asian,115,0.6173913043478261
0.1,11,Caucasian,14970,0.5408817635270541
0.1,11,Hispanic,410,0.5804878048780487
0.1,11,Other,295,0.5288135593220339
0.1,12,AfricanAmerican,3821,0.5273488615545668
0.1,12,Asian,115,0.6173913043478261
0.1,12,Caucasian,14970,0.5118236472945892
0.1,12,Hispanic,410,0.5146341463414634
0.1,12,Other,295,0.5491525423728814
0.1,13,AfricanAmerican,3821,0.5024862601413242
0.1,13,Asian,115,0.6173913043478261
0.1,13,Caucasian,14970,0.4925183700734803
0.1,13,Hispanic,410,0.43902439024390244
0.1,13,Other,295,0.6101694915254238
0.1,14,AfricanAmerican,3821,0.5386024600889819
0.1,14,Asian,115,0.6
0.1,14,Caucasian,14970,0.5263861055444222
0.1,14,Hispanic,410,0.6024390243902439
0.1,14,Other,295,0.6101694915254238
0.1,15,AfricanAmerican,3821,0.541219576027218
0.1,15,Asian,115,0.6260869565217392
0.1,15,Caucasian,14970,0.5269205076820307
0.1,15,Hispanic,410,0.5560975609756098
0.1,15,Other,295,0.6271186440677966
0.1,16,AfricanAmerican,3821,0.5223763412719183
0.1,16,Asian,115,0.3739130434782609
0.1,16,Caucasian,14970,0.5325317301269205
0.1,16,Hispanic,410,0.4878048780487805
0.1,16,Other,295,0.535593220338983
0.1,17,AfricanAmerican,3821,0.5302276890866265
0.1,17,Asian,115,0.6173913043478261
0.1,17,Caucasian,14970,0.5301937207748831
0.1,17,Hispanic,410,0.5878048780487805
0.1,17,Other,295,0.6101694915254238
0.1,18,AfricanAmerican,3821,0.49751373985867575
0.1,18,Asian,115,0.3739130434782609
0.1,18,Caucasian,14970,0.5129592518370073
0.1,18,Hispanic,410,0.5829268292682926
0.1,18,Other,295,0.5830508474576271
0.1,19,AfricanAmerican,3821,0.5208060717089767
0.1,19,Asian,115,0.4
0.1,19,Caucasian,14970,0.5112892451569806
0.1,19,Hispanic,410,0.5365853658536586
0.1,19,Other,295,0.5898305084745763
1.0,0,AfricanAmerican,3821,0.47395969641455116
1.0,0,Asian,115,0.3826086956521739
1.0,0,Caucasian,14970,0.4758851035404142
1.0,0,Hispanic,410,0.44878048780487806
1.0,0,Other,295,0.4542372881355932
1.0,1,AfricanAmerican,3821,0.5328448050248626
1.0,1,Asian,115,0.5739130434782609
1.0,1,Caucasian,14970,0.5293921175684703
1.0,1,Hispanic,410,0.5439024390243903
1.0,1,Other,295,0.5627118644067797
1.0,2,AfricanAmerican,3821,0.4640146558492541
1.0,2,Asian,115,0.3826086956521739
1.0,2,Caucasian,14970,0.47307949231796925
1.0,2,Hispanic,410,0.4195121951219512
1.0,2,Other,295,0.423728813559322
1.0,3,AfricanAmerican,3821,0.4682020413504318
1.0,3,Asian,115,0.3826086956521739
1.0,3,Caucasian,14970,0.47468269873079494
1.0,3,Hispanic,410,0.40487804878048783
1.0,3,Other,295,0.3898305084745763
1.0,4,AfricanAmerican,3821,0.503271394922795
1.0,4,Asian,115,0.591304347826087
1.0,4,Caucasian,14970,0.5118236472945892
1.0,4,Hispanic,410,0.4902439024390244
1.0,4,Other,295,0.5220338983050847
1.0,5,AfricanAmerican,3821,0.5239466108348599
1.0,5,Asian,115,0.3826086956521739
1.0,5,Caucasian,14970,0.5157648630594522
1.0,5,Hispanic,410,0.551219512195122
1.0,5,Other,295,0.5389830508474577
1.0,6,AfricanAmerican,3821,0.519235802146035
1.0,6,Asian,115,0.5391304347826087
1.0,6,Caucasian,14970,0.5141616566466266
1.0,6,Hispanic,410,0.5365853658536586
1.0,6,Other,295,0.5423728813559322
1.0,7,AfricanAmerican,3821,0.4954200471080869
1.0,7,Asian,115,0.5652173913043478
1.0,7,Caucasian,14970,0.5032064128256513
1.0,7,Hispanic,410,0.44634146341463415
1.0,7,Other,295,0.4847457627118644
1.0,8,AfricanAmerican,3821,0.509290761580738
1.0,8,Asian,115,0.6173913043478261
1.0,8,Caucasian,14970,0.5146292585170341
1.0,8,Hispanic,410,0.4902439024390244
1.0,8,Other,295,0.5288135593220339
1.0,9,AfricanAmerican,3821,0.46061240512954726
1.0,9,Asian,115,0.391304347826087
1.0,9,Caucasian,14970,0.4729458917835671
1.0,9,Hispanic,410,0.4317073170731707
1.0,9,Other,295,0.4440677966101695
1.0,10,AfricanAmerican,3821,0.5082439152054437
1.0,10,Asian,115,0.5217391304347826
1.0,10,Caucasian,14970,0.5132264529058116
1.0,10,Hispanic,410,0.5560975609756098
1.0,10,Other,295,0.5220338983050847
1.0,11,AfricanAmerican,3821,0.47343627322690396
1.0,11,Asian,115,0.6173913043478261
1.0,11,Caucasian,14970,0.476686706746827
1.0,11,Hispanic,410,0.43902439024390244
1.0,11,Other,295,0.41694915254237286
1.0,12,AfricanAmerican,3821,0.4668934833813138
1.0,12,Asian,115,0.6173913043478261
1.0,12,Caucasian,14970,0.4724114896459586
1.0,12,Hispanic,410,0.4146341463414634
1.0,12,Other,295,0.3898305084745763
1.0,13,AfricanAmerican,3821,0.5228997644595655
1.0,13,Asian,115,0.6173913043478261
1.0,13,Caucasian,14970,0.522311289245157
1.0,13,Hispanic,410,0.5439024390243903
1.0,13,Other,295,0.5389830508474577
1.0,14,AfricanAmerican,3821,0.5132164354880921
1.0,14,Asian,115,0.591304347826087
1.0,14,Caucasian,14970,0.5190380761523046
