epsilon,rep,race,n,Accuracy
0.1,0,AfricanAmerican,3821,0.5346767861816278
0.1,0,Asian,115,0.46956521739130436
0.1,0,Caucasian,14970,0.5236472945891784
0.1,0,Hispanic,410,0.5975609756097561
0.1,0,Other,295,0.5050847457627119
0.1,1,AfricanAmerican,3821,0.5223763412719183
0.1,1,Asian,115,0.6347826086956522
0.1,1,Caucasian,14970,0.5304609218436874
0.1,1,Hispanic,410,0.4609756097560976
0.1,1,Other,295,0.43728813559322033
0.1,2,AfricanAmerican,3821,0.5289191311175085
0.1,2,Asian,115,0.43478260869565216
0.1,2,Caucasian,14970,0.5149632598530394
0.1,2,Hispanic,410,0.5853658536585366
0.1,2,Other,295,0.3864406779661017
0.1,3,AfricanAmerican,3821,0.5548285789060455
0.1,3,Asian,115,0.6260869565217392
0.1,3,Caucasian,14970,0.5462925851703406
0.1,3,Hispanic,410,0.5658536585365853
0.1,3,Other,295,0.46440677966101696
0.1,4,AfricanAmerican,3821,0.5349384977754514
0.1,4,Asian,115,0.4434782608695652
0.1,4,Caucasian,14970,0.5231128924515698
0.1,4,Hispanic,410,0.5682926829268292
0.1,4,Other,295,0.5864406779661017
0.1,5,AfricanAmerican,3821,0.5467155194975137
0.1,5,Asian,115,0.391304347826087
0.1,5,Caucasian,14970,0.542752171008684
0.1,5,Hispanic,410,0.4219512195121951
0.1,5,Other,295,0.44745762711864406
0.1,6,AfricanAmerican,3821,0.5228997644595655
0.1,6,Asian,115,0.5217391304347826
0.1,6,Caucasian,14970,0.5153640614562458
0.1,6,Hispanic,410,0.5097560975609756
0.1,6,Other,295,0.6101694915254238
0.1,7,AfricanAmerican,3821,0.5234231876472127
0.1,7,Asian,115,0.46956521739130436
0.1,7,Caucasian,14970,0.5082832331329326
0.1,7,Hispanic,410,0.5902439024390244
0.1,7,Other,295,0.5220338983050847
0.1,8,AfricanAmerican,3821,0.514001570269563
0.1,8,Asian,115,0.3565217391304348
0.1,8,Caucasian,14970,0.5217100868403474
0.1,8,Hispanic,410,0.47560975609756095
0.1,8,Other,295,0.559322033898305
0.1,9,AfricanAmerican,3821,0.49777545145249935
0.1,9,Asian,115,0.5130434782608696
0.1,9,Caucasian,14970,0.5054776219104876
0.1,9,Hispanic,410,0.573170731707317
0.1,9,Other,295,0.4711864406779661
