modelo,epsilon,rep,seed,Accuracy,F1-Score
Regresión Logística,0.1,0,42,0.49834276681454287,0.49708736240889045
Naive Bayes (Gaussian),0.1,0,42,0.4778950588955178,0.46699183342652256
Regresión Logística,0.1,1,137,0.5391871908622712,0.536992280064569
Naive Bayes (Gaussian),0.1,1,137,0.5305185865075723,0.528622962953842
Regresión Logística,0.1,2,271,0.5090510427821121,0.5094117163376803
Naive Bayes (Gaussian),0.1,2,271,0.5277140380398756,0.4947151608818596
Regresión Logística,0.1,3,314,0.5118555912498087,0.5014640991302951
Naive Bayes (Gaussian),0.1,3,314,0.4752434857987864,0.4263370431235993
Regresión Logística,0.1,4,1729,0.5266942022334404,0.5263960263834365
Naive Bayes (Gaussian),0.1,4,1729,0.5309265208301464,0.5276093014115888
Regresión Logística,0.1,5,2718,0.5186374993626026,0.5166748004122118
Naive Bayes (Gaussian),0.1,5,2718,0.5388812401203407,0.5128198213762979
Regresión Logística,0.1,6,3141,0.5234817194431697,0.5239710828776165
Naive Bayes (Gaussian),0.1,6,3141,0.5283769313140584,0.5202601175096039
Regresión Logística,0.1,7,6022,0.5279689969914844,0.5280940988088425
Naive Bayes (Gaussian),0.1,7,6022,0.5151190658304013,0.501422142806746
Regresión Logística,0.1,8,8128,0.5080821987659987,0.5045476550694471
Naive Bayes (Gaussian),0.1,8,8128,0.5051246749273367,0.5052304971084309
Regresión Logística,0.1,9,9999,0.49956656978226505,0.49760821595402627
Naive Bayes (Gaussian),0.1,9,9999,0.4726938962826985,0.40138768028336164
Regresión Logística,0.1,10,10007,0.5202692366528989,0.5197342777653253
Naive Bayes (Gaussian),0.1,10,10007,0.4827392789760849,0.4485205198063076
Regresión Logística,0.1,11,11113,0.5419917393299679,0.5422946629367424
Naive Bayes (Gaussian),0.1,11,11113,0.50232012645964,0.48949403644315576
Regresión Logística,0.1,12,13121,0.5160879098465148,0.5000144545182749
Naive Bayes (Gaussian),0.1,12,13121,0.5369435520881138,0.4145509426049721
Regresión Logística,0.1,13,17171,0.4958441690887767,0.4934428098924857
Naive Bayes (Gaussian),0.1,13,17171,0.4969149966855336,0.4963917679636371
Regresión Logística,0.1,14,19273,0.532048340217225,0.531755556473705
Naive Bayes (Gaussian),0.1,14,19273,0.47835398500841364,0.4537276603241804
Regresión Logística,0.1,15,23131,0.5324052827494773,0.5303571075449478
Naive Bayes (Gaussian),0.1,15,23131,0.47182703584722857,0.40597479300513795
Regresión Logística,0.1,16,29327,0.5287338738463108,0.5290305324105351
Naive Bayes (Gaussian),0.1,16,29327,0.4766202641374739,0.3557574748817295
Regresión Logística,0.1,17,31193,0.5331191678139819,0.5335860203715063
Naive Bayes (Gaussian),0.1,17,31193,0.4662179389118352,0.29648957470062665
Regresión Logística,0.1,18,33391,0.5116516240885217,0.5104325350245427
Naive Bayes (Gaussian),0.1,18,33391,0.5300086686043547,0.3997139883323272
Regresión Logística,0.1,19,37397,0.5142012136046097,0.4920459889130137
Naive Bayes (Gaussian),0.1,19,37397,0.5037478965886493,0.49777637761551696
Regresión Logística,1.0,0,42,0.47407067462138597,0.44065041886510725
Naive Bayes (Gaussian),1.0,0,42,0.5478048034266483,0.5449516573667141
Regresión Logística,1.0,1,137,0.5311304879914334,0.48872483271213796
