modelo,epsilon,rep,seed,Accuracy,F1-Score
Regresión Logística,0.1,0,42,0.5267451940237622,0.5251312362263995
Naive Bayes (Gaussian),0.1,0,42,0.4722859619601244,0.37079942481187095
Regresión Logística,0.1,1,137,0.5266432104431187,0.5270475684390988
Naive Bayes (Gaussian),0.1,1,137,0.533323134975269,0.38020468327799617
Regresión Logística,0.1,2,271,0.5167508031206975,0.5166330210159841
Naive Bayes (Gaussian),0.1,2,271,0.5414818214267503,0.4944057384627408
Regresión Logística,0.1,3,314,0.5476008362653613,0.5466798527640613
Naive Bayes (Gaussian),0.1,3,314,0.516648819540054,0.5120085131160916
Regresión Logística,0.1,4,1729,0.5268471776044057,0.5251285483150955
Naive Bayes (Gaussian),0.1,4,1729,0.5079802151853552,0.508530876611925
Regresión Logística,0.1,5,2718,0.5386772729590535,0.5386151450905023
Naive Bayes (Gaussian),0.1,5,2718,0.510121870378869,0.5034932067597309
Regresión Logística,0.1,6,3141,0.5181785732497068,0.5133423023184127
Naive Bayes (Gaussian),0.1,6,3141,0.4868696139921473,0.48496864092670994
Regresión Logística,0.1,7,6022,0.5129264188465658,0.5121049540158881
Naive Bayes (Gaussian),0.1,7,6022,0.5154760083626536,0.49798922864528594
Regresión Logística,0.1,8,8128,0.5188414665238896,0.5193912022451022
Naive Bayes (Gaussian),0.1,8,8128,0.5119065830401306,0.4957767215562383
Regresión Logística,0.1,9,9999,0.5049207077660497,0.5054404601730582
Naive Bayes (Gaussian),0.1,9,9999,0.5201162612819336,0.49105945203345946
Regresión Logística,0.1,10,10007,0.5263882514915099,0.523738944789547
Naive Bayes (Gaussian),0.1,10,10007,0.5335780939268778,0.4746609030157648
Regresión Logística,0.1,11,11113,0.5024731018306052,0.49875548939185405
Naive Bayes (Gaussian),0.1,11,11113,0.4914588751211055,0.4892382177937872
Regresión Logística,0.1,12,13121,0.5272551119269797,0.5269956164275663
Naive Bayes (Gaussian),0.1,12,13121,0.4662179389118352,0.29648957470062665
Regresión Logística,0.1,13,17171,0.5074193054918158,0.5066237024174368
Naive Bayes (Gaussian),0.1,13,17171,0.5368925602977921,0.5089167356153184
Regresión Logística,0.1,14,19273,0.5125694763143134,0.5119416893659539
Naive Bayes (Gaussian),0.1,14,19273,0.5213400642496558,0.48767528607712707
Regresión Logística,0.1,15,23131,0.5377084289429402,0.5372008484153351
Naive Bayes (Gaussian),0.1,15,23131,0.5073173219111723,0.5015554694000177
Regresión Logística,0.1,16,29327,0.524042629136709,0.5244721015775208
Naive Bayes (Gaussian),0.1,16,29327,0.4914588751211055,0.4605926089330803
Regresión Logística,0.1,17,31193,0.5106317882820866,0.5104514543900657
Naive Bayes (Gaussian),0.1,17,31193,0.5117536076691652,0.5100069642832952
Regresión Logística,0.1,18,33391,0.5207281627657947,0.5212136715064124
Naive Bayes (Gaussian),0.1,18,33391,0.5335780939268778,0.4714409045294901
Regresión Logística,0.1,19,37397,0.5375554535719749,0.5375458509567005
Naive Bayes (Gaussian),0.1,19,37397,0.5204222120238642,0.520028701474405
Regresión Logística,0.5,0,42,0.5699352404262914,0.5704208465993542
Naive Bayes (Gaussian),0.5,0,42,0.5170567538626282,0.5139269532618288
Regresión Logística,0.5,1,137,0.5692213553617868,0.5685275796010725
Naive Bayes (Gaussian),0.5,1,137,0.5136403039110703,0.5122700505570826
Regresión Logística,0.5,2,271,0.5602468002651573,0.5570829005950261
Naive Bayes (Gaussian),0.5,2,271,0.5372495028300444,0.5058590493563857
Regresión Logística,0.5,3,314,0.5792157462648514,0.5753607117497599
Naive Bayes (Gaussian),0.5,3,314,0.5218499821528734,0.5219709117548484
Regresión Logística,0.5,4,1729,0.575085411248789,0.5717779625388468
Naive Bayes (Gaussian),0.5,4,1729,0.5095609606853296,0.5101131922081898
Regresión Logística,0.5,5,2718,0.5741165672326756,0.5743665472715108
Naive Bayes (Gaussian),0.5,5,2718,0.5124165009433481,0.5127454982524905
Regresión Logística,0.5,6,3141,0.5671816837489164,0.5568907264579767
Naive Bayes (Gaussian),0.5,6,3141,0.5097649278466166,0.499534182583364
Regresión Logística,0.5,7,6022,0.5668757330069859,0.5634230729700828
Naive Bayes (Gaussian),0.5,7,6022,0.5299066850237112,0.5302038681952894
Regresión Logística,0.5,8,8128,0.5766151649584417,0.5762288233045064
Naive Bayes (Gaussian),0.5,8,8128,0.4904900311049921,0.4653846336081703
Regresión Logística,0.5,9,9999,0.5605527510070879,0.5578892677026089
Naive Bayes (Gaussian),0.5,9,9999,0.5429095915557596,0.5433189889286443
Regresión Logística,0.5,10,10007,0.5765131813777982,0.5713917583746561
Naive Bayes (Gaussian),0.5,10,10007,0.5028300443628576,0.4748251917015856
Regresión Logística,0.5,11,11113,0.5483657131201877,0.5440591627990555
Naive Bayes (Gaussian),0.5,11,11113,0.5074193054918158,0.5045710973097108
Regresión Logística,0.5,12,13121,0.5635102748457498,0.5610686226742595
Naive Bayes (Gaussian),0.5,12,13121,0.5375554535719749,0.5321947915864983
Regresión Logística,0.5,13,17171,0.5641221763296109,0.5644547397854927
Naive Bayes (Gaussian),0.5,13,17171,0.5202692366528989,0.5040279022316181
Regresión Logística,0.5,14,19273,0.5527000152975371,0.5531975636934146
Naive Bayes (Gaussian),0.5,14,19273,0.5343429707817041,0.5346095202994886
Regresión Logística,0.5,15,23131,0.5753913619907195,0.5732251041702461
Naive Bayes (Gaussian),0.5,15,23131,0.5179746060884197,0.4995782151084252
Regresión Logística,0.5,16,29327,0.5629493651522105,0.5624330599342803
Naive Bayes (Gaussian),0.5,16,29327,0.5400030595074193,0.5149900535824756
Regresión Logística,0.5,17,31193,0.5646830860231503,0.5606162213473591
Naive Bayes (Gaussian),0.5,17,31193,0.525929325378614,0.5255273590353646
Regresión Logística,0.5,18,33391,0.5652439957166896,0.5639602154061366
Naive Bayes (Gaussian),0.5,18,33391,0.4927846616694712,0.49329142909050944
Regresión Logística,0.5,19,37397,0.568762429248891,0.5690061082550516
Naive Bayes (Gaussian),0.5,19,37397,0.5129264188465658,0.5134595684896149
Regresión Logística,1.0,0,42,0.5940033654581612,0.5931100709185775
Naive Bayes (Gaussian),1.0,0,42,0.5414818214267503,0.5419837143905586
Regresión Logística,1.0,1,137,0.5980317168935801,0.5940324093535586
Naive Bayes (Gaussian),1.0,1,137,0.5217989903625516,0.4947078755473985
Regresión Logística,1.0,2,271,0.5897710468614553,0.5821230657947268
Naive Bayes (Gaussian),1.0,2,271,0.5129264188465658,0.5076990035722914
Regresión Logística,1.0,3,314,0.6017031257967467,0.5939533418449863
Naive Bayes (Gaussian),1.0,3,314,0.5258783335882923,0.5263164131165089
Regresión Logística,1.0,4,1729,0.6022640354902861,0.5963271330186999
Naive Bayes (Gaussian),1.0,4,1729,0.5561674570394166,0.5552784141618379
Regresión Logística,1.0,5,2718,0.5929325378614043,0.5913658727781698
Naive Bayes (Gaussian),1.0,5,2718,0.5498444750395186,0.5488593711633661
Regresión Logística,1.0,6,3141,0.5994594870225893,0.5847920238682737
Naive Bayes (Gaussian),1.0,6,3141,0.5120085666207741,0.5096257215083084
Regresión Logística,1.0,7,6022,0.5966549385548927,0.5893798939729802
Naive Bayes (Gaussian),1.0,7,6022,0.5347509051042783,0.5324025709493929
Regresión Logística,1.0,8,8128,0.6028759369741472,0.6000036539727863
Naive Bayes (Gaussian),1.0,8,8128,0.5196573351690378,0.513239807907421
Regresión Logística,1.0,9,9999,0.5935444393452655,0.5849526324821291
Naive Bayes (Gaussian),1.0,9,9999,0.5407679363622456,0.5160026778261335
Regresión Logística,1.0,10,10007,0.5994594870225893,0.5913578402978393
Naive Bayes (Gaussian),1.0,10,10007,0.5371475192494009,0.5084126804388784
Regresión Logística,1.0,11,11113,0.5846718678292795,0.5764763733946653
Naive Bayes (Gaussian),1.0,11,11113,0.5264392432818317,0.5269050748384785
Regresión Logística,1.0,12,13121,0.5878333588292285,0.5813859292464582
Naive Bayes (Gaussian),1.0,12,13121,0.5562184488297384,0.5554512129823923
Regresión Logística,1.0,13,17171,0.5954311355871704,0.5931473651486178
Naive Bayes (Gaussian),1.0,13,17171,0.533527102136556,0.5240846044575014
Regresión Logística,1.0,14,19273,0.5887002192646984,0.5871797714547172
Naive Bayes (Gaussian),1.0,14,19273,0.5597368823619397,0.5595081545149719
Regresión Logística,1.0,15,23131,0.5968589057161797,0.5904253202312044
Naive Bayes (Gaussian),1.0,15,23131,0.5134363367497833,0.4946229291435699
Regresión Logística,1.0,16,29327,0.5899750140227423,0.5874208952051684
Naive Bayes (Gaussian),1.0,16,29327,0.5380653714751925,0.5322767034620066
Regresión Logística,1.0,17,31193,0.595737086329101,0.5868345144896433
Naive Bayes (Gaussian),1.0,17,31193,0.5393401662332364,0.5395569414879738
Regresión Logística,1.0,18,33391,0.5961450206516751,0.5909395156369868
Naive Bayes (Gaussian),1.0,18,33391,0.5345979297333129,0.5316656204739646
Regresión Logística,1.0,19,37397,0.5887512110550202,0.5869907158201478
Naive Bayes (Gaussian),1.0,19,37397,0.542603640813829,0.5419542046482302
Regresión Logística,5.0,0,42,0.606904288409566,0.6022447623076626
Naive Bayes (Gaussian),5.0,0,42,0.5829381469583397,0.5669848363978411
Regresión Logística,5.0,1,137,0.5994594870225893,0.5954479133096583
Naive Bayes (Gaussian),5.0,1,137,0.5353628065881393,0.5198930478729538
Regresión Logística,5.0,2,271,0.6042017235225129,0.59600416093409
Naive Bayes (Gaussian),5.0,2,271,0.5641731681199327,0.5606667529750284
Regresión Logística,5.0,3,314,0.609453877925654,0.6002009476894515
Naive Bayes (Gaussian),5.0,3,314,0.5680485441843863,0.5682109568958629
Regresión Logística,5.0,4,1729,0.6138901636836469,0.6071618221625064
Naive Bayes (Gaussian),5.0,4,1729,0.5825302126357657,0.5806855363797153
Regresión Logística,5.0,5,2718,0.6088419764417928,0.6038049922304981
Naive Bayes (Gaussian),5.0,5,2718,0.5834480648615573,0.5835423174924563
Regresión Logística,5.0,6,3141,0.597419815409719,0.5864892972736454
Naive Bayes (Gaussian),5.0,6,3141,0.5810514507164346,0.5814821512082126
Regresión Logística,5.0,7,6022,0.6108306562643414,0.6029287421301919
Naive Bayes (Gaussian),5.0,7,6022,0.5858956707970017,0.5809772230638726
Regresión Logística,5.0,8,8128,0.6017031257967467,0.5939411980973581
Naive Bayes (Gaussian),5.0,8,8128,0.5830911223293049,0.5787531872757247
Regresión Logística,5.0,9,9999,0.6072612309418184,0.5932847719730625
Naive Bayes (Gaussian),5.0,9,9999,0.5734536739584927,0.5736158619274663
Regresión Logística,5.0,10,10007,0.6083320585385753,0.5997259088130572
Naive Bayes (Gaussian),5.0,10,10007,0.5298047014430677,0.5089993991304506
Regresión Logística,5.0,11,11113,0.581816327571261,0.5778557573560041
Naive Bayes (Gaussian),5.0,11,11113,0.5635102748457498,0.5613491300866658
Regresión Logística,5.0,12,13121,0.612411401764316,0.6007196541911407
Naive Bayes (Gaussian),5.0,12,13121,0.5804905410228953,0.5786303806188072
Regresión Logística,5.0,13,17171,0.5953291520065269,0.5863913064563544
Naive Bayes (Gaussian),5.0,13,17171,0.5825812044260874,0.5807206384328647
Regresión Logística,5.0,14,19273,0.5991535362806588,0.5935857870422169
Naive Bayes (Gaussian),5.0,14,19273,0.5506603436846668,0.5384206706326544
Regresión Logística,5.0,15,23131,0.613023303248177,0.6007499490525781
Naive Bayes (Gaussian),5.0,15,23131,0.553974810055581,0.5471135223525819
Regresión Logística,5.0,16,29327,0.6087909846514711,0.6026016955567408
Naive Bayes (Gaussian),5.0,16,29327,0.5587680383458263,0.554194806806096
Regresión Logística,5.0,17,31193,0.5933404721839783,0.5864114529768082
Naive Bayes (Gaussian),5.0,17,31193,0.5854367446841059,0.5788893591268113
Regresión Logística,5.0,18,33391,0.6047626332160522,0.5940457763735206
Naive Bayes (Gaussian),5.0,18,33391,0.5754423537810412,0.5681659384706675
Regresión Logística,5.0,19,37397,0.6105247055224109,0.6048866327217355
Naive Bayes (Gaussian),5.0,19,37397,0.542603640813829,0.5314832515547899
Regresión Logística,10.0,0,42,0.61745958900617,0.6070107918881162
Naive Bayes (Gaussian),10.0,0,42,0.5907398908775687,0.5834538945061157
Regresión Logística,10.0,1,137,0.6179695069093876,0.6092562218496849
Naive Bayes (Gaussian),10.0,1,137,0.5693233389424303,0.5681974003061904
Regresión Logística,10.0,2,271,0.6173066136352048,0.6062115766688906
Naive Bayes (Gaussian),10.0,2,271,0.5774310336035898,0.5776314183739776
Regresión Logística,10.0,3,314,0.6190913262964662,0.6075646265596951
Naive Bayes (Gaussian),10.0,3,314,0.5816633522002957,0.5819266920467464
Regresión Logística,10.0,4,1729,0.6165417367803784,0.6067516637338823
Naive Bayes (Gaussian),10.0,4,1729,0.5916067513130386,0.589962854592854
Regresión Logística,10.0,5,2718,0.61832644944164,0.6091027114154416
Naive Bayes (Gaussian),10.0,5,2718,0.5934424557646218,0.5925064938083404
Regresión Logística,10.0,6,3141,0.6196012441996839,0.6079730649968433
Naive Bayes (Gaussian),10.0,6,3141,0.5866095558615063,0.586874540641707
Regresión Logística,10.0,7,6022,0.6104227219417674,0.5974701374220585
Naive Bayes (Gaussian),10.0,7,6022,0.5937484065065525,0.5907441056118132
Regresión Logística,10.0,8,8128,0.6180204986997093,0.6067593479587801
Naive Bayes (Gaussian),10.0,8,8128,0.5814593850390087,0.581936743866201
Regresión Logística,10.0,9,9999,0.6167966957319871,0.6055428616003276
Naive Bayes (Gaussian),10.0,9,9999,0.5879863342001937,0.5877757224035858
Regresión Logística,10.0,10,10007,0.6154709091836215,0.6059541912588622
Naive Bayes (Gaussian),10.0,10,10007,0.5885982356840549,0.5862123218242096
Regresión Logística,10.0,11,11113,0.6159298352965172,0.6044541226738758
Naive Bayes (Gaussian),10.0,11,11113,0.5815103768293305,0.5819751647147006
Regresión Logística,10.0,12,13121,0.6172046300545612,0.6065042425355043
Naive Bayes (Gaussian),10.0,12,13121,0.5935444393452655,0.5913700702271505
Regresión Logística,10.0,13,17171,0.6190913262964662,0.6090025322049355
Naive Bayes (Gaussian),10.0,13,17171,0.5859466625873234,0.5848993804828745
Regresión Logística,10.0,14,19273,0.6177145479577788,0.6089131272601032
