modelo,epsilon,mean_acc,std_acc,baseline,p_value,delta_pct,significativo_005,p_bonferroni,significativo_bonf
Regresión Logística,0.1,0.5222451685278671,0.011788821934748808,0.6178,1.9073486328125e-06,-15.466952326340715,True,1.9073486328125e-05,True
Regresión Logística,0.5,0.5670644026311764,0.007808491581054719,0.6178,1.9073486328125e-06,-8.212301289871093,True,1.9073486328125e-05,True
Regresión Logística,1.0,0.5947401968283108,0.005061239589708479,0.6178,1.9073486328125e-06,-3.73256768722713,True,1.9073486328125e-05,True
Regresión Logística,5.0,0.6043725460200907,0.007825109745300903,0.6178,1.9073486328125e-06,-2.1734305567998216,True,1.9073486328125e-05,True
Regresión Logística,10.0,0.617314262403753,0.0019738022312897905,0.6178,0.5216732025146484,-0.07862376112771736,False,1.0,False
Naive Bayes (Gaussian),0.1,0.511511396665137,0.020393604595413645,0.5912,1.9073486328125e-06,-13.479127763001175,True,1.9073486328125e-05,True
Naive Bayes (Gaussian),0.5,0.5188440161134059,0.014638272095844142,0.5912,1.9073486328125e-06,-12.238833539680995,True,1.9073486328125e-05,True
Naive Bayes (Gaussian),1.0,0.5348197440212126,0.014044996734487319,0.5912,1.9073486328125e-06,-9.536579157440356,True,1.9073486328125e-05,True
Naive Bayes (Gaussian),5.0,0.5681632757126103,0.017226381328377928,0.5912,1.9073486328125e-06,-3.896604243469161,True,1.9073486328125e-05,True
Naive Bayes (Gaussian),10.0,0.5855565753913619,0.006356025415563664,0.5912,0.0003223419189453125,-0.954571144898189,True,0.003223419189453125,True
