k,race,n,Accuracy,F1
0,AfricanAmerican,3821,0.6228735933001832,0.6188720330834991
0,Asian,115,0.6173913043478261,0.5596248934356352
0,Caucasian,14970,0.6186372745490982,0.6177948677364327
0,Hispanic,410,0.6780487804878049,0.6605619293603008
0,Other,295,0.6406779661016949,0.6078150703795508
2,AfricanAmerican,3821,0.6210416121434179,0.6168193196352516
2,Asian,115,0.6173913043478261,0.5518078170217217
2,Caucasian,14970,0.6183700734802939,0.6174924102880535
2,Hispanic,410,0.6780487804878049,0.6605619293603008
2,Other,295,0.6406779661016949,0.6097218652757773
5,AfricanAmerican,3821,0.6252289976445956,0.6207345966845175
5,Asian,115,0.591304347826087,0.5408049325779084
5,Caucasian,14970,0.6193720774883099,0.6182309627643026
5,Hispanic,410,0.6707317073170732,0.6504924156861553
5,Other,295,0.6474576271186441,0.6112697625383559
10,AfricanAmerican,3821,0.6254907092384192,0.6206936979127599
10,Asian,115,0.6086956521739131,0.5457084125198775
10,Caucasian,14970,0.6188376753507014,0.6176365744851944
10,Hispanic,410,0.6707317073170732,0.6474522733320878
10,Other,295,0.6440677966101694,0.6105452317745558
25,AfricanAmerican,3821,0.6239204396754776,0.6177236667430941
25,Asian,115,0.6173913043478261,0.6135227885078988
25,Caucasian,14970,0.6189712758851036,0.6169645984100323
25,Hispanic,410,0.6634146341463415,0.6432200521572071
25,Other,295,0.6508474576271186,0.6160101251809369
50,AfricanAmerican,3821,0.6252289976445956,0.6203083890716605
50,Asian,115,0.6173913043478261,0.6135227885078988
50,Caucasian,14970,0.6179692718770875,0.6138453486130122
50,Hispanic,410,0.6707317073170732,0.6624101953526956
50,Other,295,0.6644067796610169,0.651899666843769
