modelo,k,b,c,chi2,p_value,significativo_005,p_bonferroni,significativo_bonf
Regresión Logística,2,534,586,2.3223,0.12752957690954791,False,1.0,False
Random Forest,2,492,516,0.5248,0.4688006174372944,False,1.0,False
Árbol de Decisión,2,763,788,0.3714,0.5422566478935771,False,1.0,False
Naive Bayes (Gaussian),2,891,938,1.1569,0.2821059819861419,False,1.0,False
Regresión Logística,5,549,628,5.1691,0.022992470079597593,True,0.45984940159195187,False
Random Forest,5,470,453,0.2774,0.5984391534008574,False,1.0,False
Árbol de Decisión,5,871,879,0.028,0.8671088225520472,False,1.0,False
Naive Bayes (Gaussian),5,1989,1324,133.0806,0.0,True,0.0,True
Regresión Logística,10,542,615,4.4806,0.034282623551326274,True,0.6856524710265255,False
Random Forest,10,468,547,5.9941,0.014353894353493879,True,0.2870778870698776,False
Árbol de Decisión,10,1560,1646,2.2536,0.1333050814687351,False,1.0,False
Naive Bayes (Gaussian),10,1937,1283,132.4252,0.0,True,0.0,True
Regresión Logística,25,712,781,3.0971,0.07843093623509356,False,1.0,False
Random Forest,25,486,471,0.2048,0.6508686836672528,False,1.0,False
Árbol de Decisión,25,2268,2206,0.8317,0.3617830808731579,False,1.0,False
Naive Bayes (Gaussian),25,1929,1279,131.2971,0.0,True,0.0,True
Regresión Logística,50,751,817,2.6945,0.10069410577755611,False,1.0,False
Random Forest,50,445,412,1.1949,0.2743502572666452,False,1.0,False
Árbol de Decisión,50,2309,2208,2.2139,0.13677617343256165,False,1.0,False
Naive Bayes (Gaussian),50,2360,1548,168.3012,0.0,True,0.0,True
