Modelo,Accuracy,F1-Score,k,pct_suprimido,filas_efectivas,columnas_OHE
Random Forest,0.6311253888124012,0.6288374480735514,0,0.0,78442,121
Regresión Logística,0.6178165315384223,0.6159472729916176,0,0.0,78442,121
Árbol de Decisión,0.6137881801030034,0.6138170945339931,0,0.0,78442,121
Naive Bayes (Gaussian),0.5911988169904645,0.5598642462061619,0,0.0,78442,121
Regresión Logística,0.6204681046351538,0.6186844111527467,2,1.17,77524,138
Random Forest,0.6323491917801234,0.6307781296787708,2,1.17,77524,138
Árbol de Decisión,0.6150629748610473,0.615387759656886,2,1.17,77524,138
Naive Bayes (Gaussian),0.5935954311355872,0.5804732910279218,2,1.17,77524,138
Regresión Logística,0.6218448829738412,0.619735971176984,5,1.87,76975,143
Random Forest,0.6302585283769313,0.6288837357756379,5,1.87,76975,143
Árbol de Decisión,0.6141961144255775,0.6145968535313487,5,1.87,76975,143
Naive Bayes (Gaussian),0.5572892764264953,0.4504525353277492,5,1.87,76975,143
Regresión Logística,0.6215389322319107,0.6193046938025867,10,4.08,75238,143
Random Forest,0.6351537402478201,0.6340643390226898,10,4.08,75238,143
Árbol de Decisión,0.6181734740706746,0.6142689039350148,10,4.08,75238,143
Naive Bayes (Gaussian),0.5578501861200347,0.45406439163811857,10,4.08,75238,143
Regresión Logística,0.6213349650706236,0.61823316309601,25,5.2,74363,148
Random Forest,0.6303605119575748,0.6289108332879078,25,5.2,74363,148
Árbol de Decisión,0.6106266891030544,0.6108241693353094,25,5.2,74363,148
Naive Bayes (Gaussian),0.5580541532813217,0.4551195193015197,25,5.2,74363,148
Regresión Logística,0.6211819896996583,0.6167097857781689,50,5.06,74470,150
Random Forest,0.6294426597317831,0.6266451180901198,50,5.06,74470,150
Árbol de Decisión,0.6086380092805058,0.6088232111192495,50,5.06,74470,150
Naive Bayes (Gaussian),0.5497934832491969,0.42065568534901093,50,5.06,74470,150
