k,l,t,tipo,archivo,race,n,Accuracy
5,,,k_solo,baseline,Caucasian,14970,0.6186372745490982
5,,,k_solo,baseline,AfricanAmerican,3821,0.6228735933001832
5,,,k_solo,baseline,Other,295,0.6406779661016949
5,,,k_solo,baseline,Hispanic,410,0.6780487804878049
5,,,k_solo,baseline,Asian,115,0.6173913043478261
5,,,k_solo,arx_output_k5.csv,Caucasian,14970,0.6193720774883099
5,,,k_solo,arx_output_k5.csv,AfricanAmerican,3821,0.6252289976445956
5,,,k_solo,arx_output_k5.csv,Other,295,0.6474576271186441
5,,,k_solo,arx_output_k5.csv,Hispanic,410,0.6707317073170732
5,,,k_solo,arx_output_k5.csv,Asian,115,0.591304347826087
5,2,,l_div,arx_output_k5_l2.csv,Caucasian,14970,0.6192384769539078
5,2,,l_div,arx_output_k5_l2.csv,AfricanAmerican,3821,0.6254907092384192
5,2,,l_div,arx_output_k5_l2.csv,Other,295,0.6474576271186441
5,2,,l_div,arx_output_k5_l2.csv,Hispanic,410,0.6707317073170732
5,2,,l_div,arx_output_k5_l2.csv,Asian,115,0.591304347826087
5,3,,l_div,arx_output_k5_l3.csv,Caucasian,14970,0.6189712758851036
5,3,,l_div,arx_output_k5_l3.csv,AfricanAmerican,3821,0.624967286050772
5,3,,l_div,arx_output_k5_l3.csv,Other,295,0.6440677966101694
5,3,,l_div,arx_output_k5_l3.csv,Hispanic,410,0.6731707317073171
5,3,,l_div,arx_output_k5_l3.csv,Asian,115,0.591304347826087
5,5,,l_div,arx_output_k5_l5.csv,Caucasian,14970,0.6187708750835004
5,5,,l_div,arx_output_k5_l5.csv,AfricanAmerican,3821,0.6257524208322429
5,5,,l_div,arx_output_k5_l5.csv,Other,295,0.6440677966101694
5,5,,l_div,arx_output_k5_l5.csv,Hispanic,410,0.6731707317073171
5,5,,l_div,arx_output_k5_l5.csv,Asian,115,0.6347826086956522
5,,0.5,t_clos,arx_output_k5_t05.csv,Caucasian,14970,0.6180360721442886
5,,0.5,t_clos,arx_output_k5_t05.csv,AfricanAmerican,3821,0.624967286050772
5,,0.5,t_clos,arx_output_k5_t05.csv,Other,295,0.6474576271186441
5,,0.5,t_clos,arx_output_k5_t05.csv,Hispanic,410,0.6682926829268293
5,,0.5,t_clos,arx_output_k5_t05.csv,Asian,115,0.6
5,,0.4,t_clos,arx_output_k5_t04.csv,Caucasian,14970,0.6181028724114896
5,,0.4,t_clos,arx_output_k5_t04.csv,AfricanAmerican,3821,0.624967286050772
5,,0.4,t_clos,arx_output_k5_t04.csv,Other,295,0.6542372881355932
5,,0.4,t_clos,arx_output_k5_t04.csv,Hispanic,410,0.6658536585365854
5,,0.4,t_clos,arx_output_k5_t04.csv,Asian,115,0.6260869565217392
5,,0.35,t_clos,arx_output_k5_t035.csv,Caucasian,14970,0.6180360721442886
5,,0.35,t_clos,arx_output_k5_t035.csv,AfricanAmerican,3821,0.6247055744569484
5,,0.35,t_clos,arx_output_k5_t035.csv,Other,295,0.6542372881355932
5,,0.35,t_clos,arx_output_k5_t035.csv,Hispanic,410,0.6731707317073171
5,,0.35,t_clos,arx_output_k5_t035.csv,Asian,115,0.6086956521739131
5,,0.3,t_clos,arx_output_k5_t03.csv,Caucasian,14970,0.6183032732130929
5,,0.3,t_clos,arx_output_k5_t03.csv,AfricanAmerican,3821,0.6210416121434179
5,,0.3,t_clos,arx_output_k5_t03.csv,Other,295,0.6440677966101694
5,,0.3,t_clos,arx_output_k5_t03.csv,Hispanic,410,0.6585365853658537
5,,0.3,t_clos,arx_output_k5_t03.csv,Asian,115,0.6173913043478261
5,,0.25,t_clos,arx_output_k5_t025.csv,Caucasian,14970,0.6055444221776887
5,,0.25,t_clos,arx_output_k5_t025.csv,AfricanAmerican,3821,0.6105731483904737
5,,0.25,t_clos,arx_output_k5_t025.csv,Other,295,0.6644067796610169
5,,0.25,t_clos,arx_output_k5_t025.csv,Hispanic,410,0.6658536585365854
5,,0.25,t_clos,arx_output_k5_t025.csv,Asian,115,0.6086956521739131
5,2,0.5,triple_soft,arx_output_k5_l2_t05.csv,Caucasian,14970,0.6180360721442886
5,2,0.5,triple_soft,arx_output_k5_l2_t05.csv,AfricanAmerican,3821,0.624967286050772
5,2,0.5,triple_soft,arx_output_k5_l2_t05.csv,Other,295,0.6474576271186441
5,2,0.5,triple_soft,arx_output_k5_l2_t05.csv,Hispanic,410,0.6682926829268293
5,2,0.5,triple_soft,arx_output_k5_l2_t05.csv,Asian,115,0.6
5,3,0.35,triple_medium,arx_output_k5_l3_t035.csv,Caucasian,14970,0.6180360721442886
5,3,0.35,triple_medium,arx_output_k5_l3_t035.csv,AfricanAmerican,3821,0.6247055744569484
5,3,0.35,triple_medium,arx_output_k5_l3_t035.csv,Other,295,0.6542372881355932
5,3,0.35,triple_medium,arx_output_k5_l3_t035.csv,Hispanic,410,0.6731707317073171
5,3,0.35,triple_medium,arx_output_k5_l3_t035.csv,Asian,115,0.6086956521739131
5,5,0.3,triple_hard,arx_output_k5_l5_t03.csv,Caucasian,14970,0.618436873747495
5,5,0.3,triple_hard,arx_output_k5_l5_t03.csv,AfricanAmerican,3821,0.6213033237372415
5,5,0.3,triple_hard,arx_output_k5_l5_t03.csv,Other,295,0.6440677966101694
5,5,0.3,triple_hard,arx_output_k5_l5_t03.csv,Hispanic,410,0.6634146341463415
5,5,0.3,triple_hard,arx_output_k5_l5_t03.csv,Asian,115,0.6173913043478261
5,5,0.25,triple_extreme,arx_output_k5_l5_t025.csv,Caucasian,14970,0.6055444221776887
5,5,0.25,triple_extreme,arx_output_k5_l5_t025.csv,AfricanAmerican,3821,0.6105731483904737
5,5,0.25,triple_extreme,arx_output_k5_l5_t025.csv,Other,295,0.6644067796610169
5,5,0.25,triple_extreme,arx_output_k5_l5_t025.csv,Hispanic,410,0.6658536585365854
5,5,0.25,triple_extreme,arx_output_k5_l5_t025.csv,Asian,115,0.6086956521739131
