k,l,t,tipo,archivo,Modelo,Accuracy,F1-Score,pct_suprimido,filas_efectivas,columnas_OHE
5,,,k_solo,arx_output_k5.csv,Regresión Logística,0.6218448829738412,0.619735971176984,1.87,76975,143
5,,,k_solo,arx_output_k5.csv,Random Forest,0.6302585283769313,0.6288837357756379,1.87,76975,143
5,,,k_solo,arx_output_k5.csv,Árbol de Decisión,0.6141961144255775,0.6145968535313487,1.87,76975,143
5,,,k_solo,arx_output_k5.csv,Naive Bayes (Gaussian),0.5572892764264953,0.4504525353277492,1.87,76975,143
5,2,,l_div,arx_output_k5_l2.csv,Regresión Logística,0.6217938911835195,0.6196814825644857,1.89,76956,143
5,2,,l_div,arx_output_k5_l2.csv,Random Forest,0.633063076844628,0.6322946982462145,1.89,76956,143
5,2,,l_div,arx_output_k5_l2.csv,Árbol de Decisión,0.6139411554739687,0.6143611985161194,1.89,76956,143
5,2,,l_div,arx_output_k5_l2.csv,Naive Bayes (Gaussian),0.5574932435877824,0.45095927493353477,1.89,76956,143
5,3,,l_div,arx_output_k5_l3.csv,Regresión Logística,0.621487940441589,0.6193480276135158,2.07,76819,143
5,3,,l_div,arx_output_k5_l3.csv,Random Forest,0.6322981999898016,0.6305990683353263,2.07,76819,143
5,3,,l_div,arx_output_k5_l3.csv,Árbol de Decisión,0.6135842129417164,0.614021362161323,2.07,76819,143
5,3,,l_div,arx_output_k5_l3.csv,Naive Bayes (Gaussian),0.5574422517974607,0.45086433578025575,2.07,76819,143
5,5,,l_div,arx_output_k5_l5.csv,Regresión Logística,0.6217428993931977,0.6195361264902213,3.84,75432,143
5,5,,l_div,arx_output_k5_l5.csv,Random Forest,0.6308704298607924,0.629773123883846,3.84,75432,143
5,5,,l_div,arx_output_k5_l5.csv,Árbol de Decisión,0.6096068532966192,0.6097293929869414,3.84,75432,143
5,5,,l_div,arx_output_k5_l5.csv,Naive Bayes (Gaussian),0.5586150629748611,0.4550397559209318,3.84,75432,143
5,,0.5,t_clos,arx_output_k5_t05.csv,Regresión Logística,0.6207740553770843,0.6185517726127779,4.34,75036,143
5,,0.5,t_clos,arx_output_k5_t05.csv,Random Forest,0.6310234052317577,0.6305636109550599,4.34,75036,143
5,,0.5,t_clos,arx_output_k5_t05.csv,Árbol de Decisión,0.61745958900617,0.6142174834705605,4.34,75036,143
5,,0.5,t_clos,arx_output_k5_t05.csv,Naive Bayes (Gaussian),0.5563714242007037,0.45929044915455797,4.34,75036,143
5,,0.4,t_clos,arx_output_k5_t04.csv,Regresión Logística,0.6210290143286931,0.6187387423219937,7.71,72395,143
5,,0.4,t_clos,arx_output_k5_t04.csv,Random Forest,0.6288817500382439,0.6280607769948863,7.71,72395,143
5,,0.4,t_clos,arx_output_k5_t04.csv,Árbol de Decisión,0.6135332211513946,0.6101983859902641,7.71,72395,143
5,,0.4,t_clos,arx_output_k5_t04.csv,Naive Bayes (Gaussian),0.5551476212329814,0.45744408512124174,7.71,72395,143
5,,0.35,t_clos,arx_output_k5_t035.csv,Regresión Logística,0.6209780225383713,0.6185285658484428,10.11,70512,143
5,,0.35,t_clos,arx_output_k5_t035.csv,Random Forest,0.6317372902962624,0.6313857512791402,10.11,70512,143
5,,0.35,t_clos,arx_output_k5_t035.csv,Árbol de Decisión,0.6146040487481516,0.6126911204749884,10.11,70512,143
5,,0.35,t_clos,arx_output_k5_t035.csv,Naive Bayes (Gaussian),0.5581051450716434,0.45465778568790816,10.11,70512,143
5,,0.3,t_clos,arx_output_k5_t03.csv,Regresión Logística,0.6200601703125797,0.6182504679385973,8.15,72048,140
5,,0.3,t_clos,arx_output_k5_t03.csv,Random Forest,0.6303095201672531,0.6297961125727192,8.15,72048,140
5,,0.3,t_clos,arx_output_k5_t03.csv,Árbol de Decisión,0.6105756973127326,0.610452824050586,8.15,72048,140
5,,0.3,t_clos,arx_output_k5_t03.csv,Naive Bayes (Gaussian),0.5577991943297129,0.4556346062382953,8.15,72048,140
5,,0.25,t_clos,arx_output_k5_t025.csv,Regresión Logística,0.6086890010708276,0.6091350281806935,8.69,71624,145
5,,0.25,t_clos,arx_output_k5_t025.csv,Random Forest,0.627810922441487,0.6276253141615441,8.69,71624,145
5,,0.25,t_clos,arx_output_k5_t025.csv,Árbol de Decisión,0.6045076742644434,0.6044757914312551,8.69,71624,145
5,,0.25,t_clos,arx_output_k5_t025.csv,Naive Bayes (Gaussian),0.5582071286522869,0.45619796003670393,8.69,71624,145
5,2,0.5,triple_soft,arx_output_k5_l2_t05.csv,Regresión Logística,0.6207740553770843,0.6185517726127779,4.34,75036,143
5,2,0.5,triple_soft,arx_output_k5_l2_t05.csv,Random Forest,0.631176380602723,0.6306812521435844,4.34,75036,143
5,2,0.5,triple_soft,arx_output_k5_l2_t05.csv,Árbol de Decisión,0.617663556167457,0.6144387823707598,4.34,75036,143
5,2,0.5,triple_soft,arx_output_k5_l2_t05.csv,Naive Bayes (Gaussian),0.5563714242007037,0.45929044915455797,4.34,75036,143
5,3,0.35,triple_medium,arx_output_k5_l3_t035.csv,Regresión Logística,0.6209780225383713,0.6185285658484428,10.11,70512,143
5,3,0.35,triple_medium,arx_output_k5_l3_t035.csv,Random Forest,0.6322472081994799,0.6316350080530351,10.11,70512,143
5,3,0.35,triple_medium,arx_output_k5_l3_t035.csv,Árbol de Decisión,0.6146040487481516,0.6126848844809464,10.11,70512,143
5,3,0.35,triple_medium,arx_output_k5_l3_t035.csv,Naive Bayes (Gaussian),0.5581051450716434,0.45465778568790816,10.11,70512,143
5,5,0.3,triple_hard,arx_output_k5_l5_t03.csv,Regresión Logística,0.6203151292641884,0.6184793974083392,8.16,72042,140
5,5,0.3,triple_hard,arx_output_k5_l5_t03.csv,Random Forest,0.6293406761511396,0.6288086026689037,8.16,72042,140
5,5,0.3,triple_hard,arx_output_k5_l5_t03.csv,Árbol de Decisión,0.6110346234256284,0.610913408063716,8.16,72042,140
5,5,0.3,triple_hard,arx_output_k5_l5_t03.csv,Naive Bayes (Gaussian),0.5579521697006782,0.4556697799802311,8.16,72042,140
5,5,0.25,triple_extreme,arx_output_k5_l5_t025.csv,Regresión Logística,0.6086890010708276,0.6091350281806935,8.69,71624,145
5,5,0.25,triple_extreme,arx_output_k5_l5_t025.csv,Random Forest,0.629901585844679,0.6294329480440328,8.69,71624,145
5,5,0.25,triple_extreme,arx_output_k5_l5_t025.csv,Árbol de Decisión,0.6046096578450869,0.6045777832333614,8.69,71624,145
5,5,0.25,triple_extreme,arx_output_k5_l5_t025.csv,Naive Bayes (Gaussian),0.5582071286522869,0.45619796003670393,8.69,71624,145
