epsilon,rep,race,n,Accuracy
0.1,0,AfricanAmerican,3821,0.5202826485213295
0.1,0,Asian,115,0.6086956521739131
0.1,0,Caucasian,14970,0.5259853039412158
0.1,0,Hispanic,410,0.5609756097560976
0.1,0,Other,295,0.6
0.1,1,AfricanAmerican,3821,0.4938497775451452
0.1,1,Asian,115,0.4869565217391304
0.1,1,Caucasian,14970,0.5070808283233132
0.1,1,Hispanic,410,0.4829268292682926
0.1,1,Other,295,0.4169491525423728
0.1,2,AfricanAmerican,3821,0.4977754514524993
0.1,2,Asian,115,0.6434782608695652
0.1,2,Caucasian,14970,0.5192384769539078
0.1,2,Hispanic,410,0.5219512195121951
0.1,2,Other,295,0.5796610169491525
0.1,3,AfricanAmerican,3821,0.5312745354619209
0.1,3,Asian,115,0.5826086956521739
0.1,3,Caucasian,14970,0.5284569138276554
0.1,3,Hispanic,410,0.5804878048780487
0.1,3,Other,295,0.6033898305084746
0.1,4,AfricanAmerican,3821,0.4705574456948442
0.1,4,Asian,115,0.408695652173913
0.1,4,Caucasian,14970,0.4712090848363393
0.1,4,Hispanic,410,0.4268292682926829
0.1,4,Other,295,0.3796610169491525
0.1,5,AfricanAmerican,3821,0.4951583355142633
0.1,5,Asian,115,0.5652173913043478
0.1,5,Caucasian,14970,0.4915163660654643
0.1,5,Hispanic,410,0.5073170731707317
0.1,5,Other,295,0.4203389830508474
0.1,6,AfricanAmerican,3821,0.5061502224548547
0.1,6,Asian,115,0.5478260869565217
0.1,6,Caucasian,14970,0.4906479625918504
0.1,6,Hispanic,410,0.4926829268292683
0.1,6,Other,295,0.5728813559322034
0.1,7,AfricanAmerican,3821,0.4802407746663177
0.1,7,Asian,115,0.4956521739130435
0.1,7,Caucasian,14970,0.5045424181696727
0.1,7,Hispanic,410,0.5853658536585366
0.1,7,Other,295,0.5220338983050847
0.1,8,AfricanAmerican,3821,0.4823344674169065
0.1,8,Asian,115,0.3739130434782609
0.1,8,Caucasian,14970,0.4867067468269873
0.1,8,Hispanic,410,0.4341463414634146
0.1,8,Other,295,0.4101694915254237
0.1,9,AfricanAmerican,3821,0.4658466370060193
0.1,9,Asian,115,0.3826086956521739
0.1,9,Caucasian,14970,0.4702738810955243
0.1,9,Hispanic,410,0.4146341463414634
0.1,9,Other,295,0.3932203389830508
0.1,10,AfricanAmerican,3821,0.4894006804501439
0.1,10,Asian,115,0.4956521739130435
0.1,10,Caucasian,14970,0.5187040748162992
0.1,10,Hispanic,410,0.473170731707317
0.1,10,Other,295,0.4813559322033898
0.1,11,AfricanAmerican,3821,0.4679403297566082
0.1,11,Asian,115,0.417391304347826
0.1,11,Caucasian,14970,0.4802271209084836
0.1,11,Hispanic,410,0.4073170731707317
0.1,11,Other,295,0.3966101694915254
0.1,12,AfricanAmerican,3821,0.533891651400157
0.1,12,Asian,115,0.6173913043478261
0.1,12,Caucasian,14970,0.5301269205076821
0.1,12,Hispanic,410,0.5829268292682926
0.1,12,Other,295,0.6033898305084746
0.1,13,AfricanAmerican,3821,0.5221146296780947
0.1,13,Asian,115,0.5652173913043478
0.1,13,Caucasian,14970,0.5140280561122245
0.1,13,Hispanic,410,0.5804878048780487
0.1,13,Other,295,0.5627118644067797
0.1,14,AfricanAmerican,3821,0.5181889557707406
0.1,14,Asian,115,0.4782608695652174
0.1,14,Caucasian,14970,0.5213092852371409
0.1,14,Hispanic,410,0.4804878048780487
0.1,14,Other,295,0.5491525423728814
0.1,15,AfricanAmerican,3821,0.5116461659251504
0.1,15,Asian,115,0.4521739130434782
0.1,15,Caucasian,14970,0.4907147628590514
0.1,15,Hispanic,410,0.4634146341463415
0.1,15,Other,295,0.4847457627118644
0.1,16,AfricanAmerican,3821,0.5048416644857368
0.1,16,Asian,115,0.5217391304347826
0.1,16,Caucasian,14970,0.4876419505678023
0.1,16,Hispanic,410,0.4536585365853658
0.1,16,Other,295,0.5084745762711864
0.1,17,AfricanAmerican,3821,0.4938497775451452
0.1,17,Asian,115,0.6
0.1,17,Caucasian,14970,0.5004676018704075
0.1,17,Hispanic,410,0.5048780487804878
0.1,17,Other,295,0.4644067796610169
0.1,18,AfricanAmerican,3821,0.467416906568961
0.1,18,Asian,115,0.4
0.1,18,Caucasian,14970,0.4727454909819639
0.1,18,Hispanic,410,0.4292682926829268
0.1,18,Other,295,0.3864406779661017
0.1,19,AfricanAmerican,3821,0.5223763412719183
0.1,19,Asian,115,0.5826086956521739
0.1,19,Caucasian,14970,0.5232464929859719
0.1,19,Hispanic,410,0.5853658536585366
0.1,19,Other,295,0.5898305084745763
0.5,0,AfricanAmerican,3821,0.5354619209630986
0.5,0,Asian,115,0.591304347826087
0.5,0,Caucasian,14970,0.5229792919171676
0.5,0,Hispanic,410,0.5682926829268292
0.5,0,Other,295,0.5864406779661017
0.5,1,AfricanAmerican,3821,0.5194975137398586
0.5,1,Asian,115,0.591304347826087
0.5,1,Caucasian,14970,0.5183032732130929
0.5,1,Hispanic,410,0.5048780487804878
0.5,1,Other,295,0.5288135593220339
0.5,2,AfricanAmerican,3821,0.4802407746663177
0.5,2,Asian,115,0.4956521739130435
0.5,2,Caucasian,14970,0.4998663994655978
0.5,2,Hispanic,410,0.5170731707317073
0.5,2,Other,295,0.4440677966101695
0.5,3,AfricanAmerican,3821,0.5276105731483904
0.5,3,Asian,115,0.6260869565217392
0.5,3,Caucasian,14970,0.5209084836339345
0.5,3,Hispanic,410,0.5634146341463414
0.5,3,Other,295,0.5694915254237288
0.5,4,AfricanAmerican,3821,0.5024862601413242
0.5,4,Asian,115,0.6347826086956522
0.5,4,Caucasian,14970,0.5263861055444222
0.5,4,Hispanic,410,0.5195121951219512
0.5,4,Other,295,0.5220338983050847
0.5,5,AfricanAmerican,3821,0.4713425804763151
0.5,5,Asian,115,0.4695652173913043
0.5,5,Caucasian,14970,0.4725450901803607
0.5,5,Hispanic,410,0.4195121951219512
0.5,5,Other,295,0.4067796610169492
0.5,6,AfricanAmerican,3821,0.4975137398586757
0.5,6,Asian,115,0.5478260869565217
0.5,6,Caucasian,14970,0.4992651970607882
0.5,6,Hispanic,410,0.5634146341463414
0.5,6,Other,295,0.5627118644067797
0.5,7,AfricanAmerican,3821,0.512693012300445
0.5,7,Asian,115,0.5130434782608696
0.5,7,Caucasian,14970,0.5035404141616566
0.5,7,Hispanic,410,0.5560975609756098
0.5,7,Other,295,0.511864406779661
0.5,8,AfricanAmerican,3821,0.4956817587019105
0.5,8,Asian,115,0.4956521739130435
0.5,8,Caucasian,14970,0.5020708082832331
0.5,8,Hispanic,410,0.4853658536585366
0.5,8,Other,295,0.535593220338983
0.5,9,AfricanAmerican,3821,0.4818110442292593
0.5,9,Asian,115,0.4260869565217391
0.5,9,Caucasian,14970,0.4873079492317969
0.5,9,Hispanic,410,0.4707317073170731
0.5,9,Other,295,0.447457627118644
0.5,10,AfricanAmerican,3821,0.4956817587019105
0.5,10,Asian,115,0.6086956521739131
0.5,10,Caucasian,14970,0.5117568470273881
