epsilon,rep,seed,epsilon_por_atributo,modelo,Accuracy,F1-Score
0.1,0,42,0.002380952380952381,Regresión Logística,0.527204120136658,0.4348001130454004
0.1,0,42,0.002380952380952381,Naive Bayes (Gaussian),0.5148641068787925,0.4978418907768546
0.1,1,137,0.002380952380952381,Regresión Logística,0.502524093620927,0.4996924695613945
0.1,1,137,0.002380952380952381,Naive Bayes (Gaussian),0.5172607210239152,0.5097620247487611
0.1,2,271,0.002380952380952381,Regresión Logística,0.5167508031206975,0.47132344532391335
0.1,2,271,0.002380952380952381,Naive Bayes (Gaussian),0.526337259701188,0.44100730518992837
0.1,3,314,0.002380952380952381,Regresión Logística,0.5315384223140075,0.38461229736902103
0.1,3,314,0.002380952380952381,Naive Bayes (Gaussian),0.5183315486206721,0.42680391969197906
0.1,4,1729,0.002380952380952381,Regresión Logística,0.4684105858956708,0.37788848750631887
0.1,4,1729,0.002380952380952381,Naive Bayes (Gaussian),0.5009433481209525,0.48483951875102843
0.1,5,2718,0.002380952380952381,Regresión Logística,0.4919178012340013,0.47249158862642837
0.1,5,2718,0.002380952380952381,Naive Bayes (Gaussian),0.5180765896690632,0.5000793043905881
0.1,6,3141,0.002380952380952381,Regresión Logística,0.4952832593952374,0.49486222685007175
0.1,6,3141,0.002380952380952381,Naive Bayes (Gaussian),0.49105094079853145,0.48045395190687923
0.1,7,6022,0.002380952380952381,Regresión Logística,0.5017082249757789,0.4952730749006374
0.1,7,6022,0.002380952380952381,Naive Bayes (Gaussian),0.5092550099433991,0.479221599487844
0.1,8,8128,0.002380952380952381,Regresión Logística,0.4829432461373719,0.44847042104551144
0.1,8,8128,0.002380952380952381,Naive Bayes (Gaussian),0.49915863545969097,0.48436491198578674
0.1,9,9999,0.002380952380952381,Regresión Logística,0.4665748814440875,0.29772455220174804
0.1,9,9999,0.002380952380952381,Naive Bayes (Gaussian),0.4855948192341033,0.47775683511905653
0.1,10,10007,0.002380952380952381,Regresión Logística,0.5113456733465912,0.43606997398191905
0.1,10,10007,0.002380952380952381,Naive Bayes (Gaussian),0.5063994696853806,0.47811327565914286
0.1,11,11113,0.002380952380952381,Regresión Logística,0.47468257610524706,0.38924811917254876
0.1,11,11113,0.002380952380952381,Naive Bayes (Gaussian),0.505481617459589,0.49852963699959457
0.1,12,13121,0.002380952380952381,Regresión Logística,0.5335780939268778,0.3736120182069828
0.1,12,13121,0.002380952380952381,Naive Bayes (Gaussian),0.5137932792820356,0.4649454083368167
0.1,13,17171,0.002380952380952381,Regresión Logística,0.5180255978787415,0.49241321560093687
0.1,13,17171,0.002380952380952381,Naive Bayes (Gaussian),0.5017082249757789,0.4950226881816538
0.1,14,19273,0.002380952380952381,Regresión Logística,0.52001427770129,0.4996127546352429
0.1,14,19273,0.002380952380952381,Naive Bayes (Gaussian),0.5306715618785376,0.4115037353168808
0.1,15,23131,0.002380952380952381,Regresión Logística,0.4939064810565499,0.4808024712756094
0.1,15,23131,0.002380952380952381,Naive Bayes (Gaussian),0.519606343378716,0.4317914140978317
0.1,16,29327,0.002380952380952381,Regresión Logística,0.49079598184692264,0.47988441242213764
0.1,16,29327,0.002380952380952381,Naive Bayes (Gaussian),0.5245015552496048,0.4561434677242793
0.1,17,31193,0.002380952380952381,Regresión Logística,0.4993116108306563,0.486519835492522
0.1,17,31193,0.002380952380952381,Naive Bayes (Gaussian),0.5017082249757789,0.5017219376790738
0.1,18,33391,0.002380952380952381,Regresión Logística,0.46907347916985365,0.3402508222597762
0.1,18,33391,0.002380952380952381,Naive Bayes (Gaussian),0.4923257355565754,0.487158813256291
0.1,19,37397,0.002380952380952381,Regresión Logística,0.525725358217327,0.398006400775991
0.1,19,37397,0.002380952380952381,Naive Bayes (Gaussian),0.5261842843302228,0.4026571933316024
0.5,0,42,0.011904761904761904,Regresión Logística,0.5277140380398756,0.4530827643686083
0.5,0,42,0.011904761904761904,Naive Bayes (Gaussian),0.5209321299270817,0.43701811641673954
0.5,1,137,0.011904761904761904,Regresión Logística,0.5188414665238896,0.4907668172727674
0.5,1,137,0.011904761904761904,Naive Bayes (Gaussian),0.5239916373463872,0.44760045567583756
0.5,2,271,0.011904761904761904,Regresión Logística,0.49553821834684614,0.4742207420514829
0.5,2,271,0.011904761904761904,Naive Bayes (Gaussian),0.5107337718627301,0.5103500200798543
0.5,3,314,0.011904761904761904,Regresión Logística,0.5244505634592831,0.4317974568236179
0.5,3,314,0.011904761904761904,Naive Bayes (Gaussian),0.5147111315078272,0.4659182183878489
0.5,4,1729,0.011904761904761904,Regresión Logística,0.5221559328948039,0.5225138024755301
0.5,4,1729,0.011904761904761904,Naive Bayes (Gaussian),0.5237876701851002,0.4704917627334176
0.5,5,2718,0.011904761904761904,Regresión Logística,0.4701952985569323,0.3902924012907642
0.5,5,2718,0.011904761904761904,Naive Bayes (Gaussian),0.5064504614757024,0.5045509561092203
0.5,6,3141,0.011904761904761904,Regresión Logística,0.5015042578144918,0.5010196826728115
0.5,6,3141,0.011904761904761904,Naive Bayes (Gaussian),0.5232777522818827,0.5052695186922719
0.5,7,6022,0.011904761904761904,Regresión Logística,0.5066034368466676,0.48178004036189165
0.5,7,6022,0.011904761904761904,Naive Bayes (Gaussian),0.520677170975473,0.4269391733117561
0.5,8,8128,0.011904761904761904,Regresión Logística,0.5009433481209525,0.49258169530108836
0.5,8,8128,0.011904761904761904,Naive Bayes (Gaussian),0.5144051807658967,0.47610456628994946
0.5,9,9999,0.011904761904761904,Regresión Logística,0.48493192595992046,0.44796840716455666
0.5,9,9999,0.011904761904761904,Naive Bayes (Gaussian),0.5120085666207741,0.4867847040616206
0.5,10,10007,0.011904761904761904,Regresión Logística,0.510325837540156,0.46763757007378876
0.5,10,10007,0.011904761904761904,Naive Bayes (Gaussian),0.5207791545561165,0.44535111600187677
0.5,11,11113,0.011904761904761904,Regresión Logística,0.5273061037173015,0.42806304749339535
0.5,11,11113,0.011904761904761904,Naive Bayes (Gaussian),0.5242975880883178,0.45033353353412703
0.5,12,13121,0.011904761904761904,Regresión Logística,0.5188414665238896,0.46441571268820253
0.5,12,13121,0.011904761904761904,Naive Bayes (Gaussian),0.5274080872979451,0.4351589297590106
0.5,13,17171,0.011904761904761904,Regresión Logística,0.5066544286369894,0.49619844158126275
0.5,13,17171,0.011904761904761904,Naive Bayes (Gaussian),0.5123655091530264,0.504668029975993
0.5,14,19273,0.011904761904761904,Regresión Logística,0.5300086686043547,0.4181632745654557
0.5,14,19273,0.011904761904761904,Naive Bayes (Gaussian),0.5264902350721534,0.42846815617838124
0.5,15,23131,0.011904761904761904,Regresión Logística,0.47498852684717763,0.36606017437650246
0.5,15,23131,0.011904761904761904,Naive Bayes (Gaussian),0.4849829177502422,0.43609181826143195
0.5,16,29327,0.011904761904761904,Regresión Logística,0.5020651675080312,0.5017274464821807
0.5,16,29327,0.011904761904761904,Naive Bayes (Gaussian),0.5215440314109429,0.45364281732805717
0.5,17,31193,0.011904761904761904,Regresión Logística,0.5024731018306052,0.5022160462142635
0.5,17,31193,0.011904761904761904,Naive Bayes (Gaussian),0.5142012136046097,0.4870333146970967
0.5,18,33391,0.011904761904761904,Regresión Logística,0.4853908520728163,0.430620150982345
0.5,18,33391,0.011904761904761904,Naive Bayes (Gaussian),0.5150680740400796,0.48886575622740647
0.5,19,37397,0.011904761904761904,Regresión Logística,0.5276120544592321,0.39895013431786314
0.5,19,37397,0.011904761904761904,Naive Bayes (Gaussian),0.5251134567334659,0.4256235096547078
1.0,0,42,0.023809523809523808,Regresión Logística,0.4834021722502677,0.4025543897528963
1.0,0,42,0.023809523809523808,Naive Bayes (Gaussian),0.4994135944112998,0.49897571385541223
1.0,1,137,0.023809523809523808,Regresión Logística,0.51624088521748,0.5134227939791046
1.0,1,137,0.023809523809523808,Naive Bayes (Gaussian),0.5009433481209525,0.5014824463304973
1.0,2,271,0.023809523809523808,Regresión Logística,0.5257763500076488,0.43475579485570215
1.0,2,271,0.023809523809523808,Naive Bayes (Gaussian),0.5302636275559635,0.4497359852463291
1.0,3,314,0.023809523809523808,Regresión Logística,0.5032379786854316,0.5035506867283525
1.0,3,314,0.023809523809523808,Naive Bayes (Gaussian),0.5023711182499617,0.49826894017496476
1.0,4,1729,0.023809523809523808,Regresión Logística,0.48783845800826064,0.4294911765418624
1.0,4,1729,0.023809523809523808,Naive Bayes (Gaussian),0.5105807964917648,0.509555278517904
1.0,5,2718,0.023809523809523808,Regresión Logística,0.5154250165723319,0.5154199737121956
1.0,5,2718,0.023809523809523808,Naive Bayes (Gaussian),0.52088113813676,0.45132315919928817
1.0,6,3141,0.023809523809523808,Regresión Logística,0.5117536076691652,0.4997707594300575
1.0,6,3141,0.023809523809523808,Naive Bayes (Gaussian),0.519606343378716,0.5049122266266374
1.0,7,6022,0.023809523809523808,Regresión Logística,0.49818979144357756,0.4937897232587229
1.0,7,6022,0.023809523809523808,Naive Bayes (Gaussian),0.5165468359594105,0.47774173641904555
1.0,8,8128,0.023809523809523808,Regresión Logística,0.5055836010402325,0.5032794888617595
1.0,8,8128,0.023809523809523808,Naive Bayes (Gaussian),0.5180255978787415,0.5071598592678869
1.0,9,9999,0.023809523809523808,Regresión Logística,0.47065422466982815,0.35280904914953637
1.0,9,9999,0.023809523809523808,Naive Bayes (Gaussian),0.4897251542501657,0.4892694284399463
1.0,10,10007,0.023809523809523808,Regresión Logística,0.51624088521748,0.4931693279572186
1.0,10,10007,0.023809523809523808,Naive Bayes (Gaussian),0.5217479985722299,0.5127460532540803
1.0,11,11113,0.023809523809523808,Regresión Logística,0.4960991280403855,0.48166773211951697
1.0,11,11113,0.023809523809523808,Naive Bayes (Gaussian),0.5187394829432461,0.4804145231662288
1.0,12,13121,0.023809523809523808,Regresión Logística,0.5145071643465402,0.427490062448686
1.0,12,13121,0.023809523809523808,Naive Bayes (Gaussian),0.5243485798786396,0.4103785277048587
1.0,13,17171,0.023809523809523808,Regresión Logística,0.5253684156850748,0.4924959019840086
1.0,13,17171,0.023809523809523808,Naive Bayes (Gaussian),0.5325582581204427,0.46305345918201746
1.0,14,19273,0.023809523809523808,Regresión Logística,0.5096629442659731,0.5047357815984846
1.0,14,19273,0.023809523809523808,Naive Bayes (Gaussian),0.5222069246851256,0.4505652550690159
1.0,15,23131,0.023809523809523808,Regresión Logística,0.468155626944062,0.32885013839907407
1.0,15,23131,0.023809523809523808,Naive Bayes (Gaussian),0.49115292437917496,0.4544826445009084
1.0,16,29327,0.023809523809523808,Regresión Logística,0.5059405435724849,0.4885143371990883
1.0,16,29327,0.023809523809523808,Naive Bayes (Gaussian),0.5184335322013156,0.5051748229441411
1.0,17,31193,0.023809523809523808,Regresión Logística,0.5085411248788945,0.5089257138856557
1.0,17,31193,0.023809523809523808,Naive Bayes (Gaussian),0.5028810361531794,0.4993205312609565
1.0,18,33391,0.023809523809523808,Regresión Logística,0.472591912702055,0.4019748862819372
1.0,18,33391,0.023809523809523808,Naive Bayes (Gaussian),0.5174136963948804,0.4965329701640798
1.0,19,37397,0.023809523809523808,Regresión Logística,0.5031869868951099,0.5031164546134748
1.0,19,37397,0.023809523809523808,Naive Bayes (Gaussian),0.5125184845239916,0.5121557839965092
5.0,0,42,0.11904761904761904,Regresión Logística,0.48763449084697363,0.4433518731670457
5.0,0,42,0.11904761904761904,Naive Bayes (Gaussian),0.5157309673142624,0.48258830931073304
5.0,1,137,0.11904761904761904,Regresión Logística,0.49834276681454287,0.4889332867721662
5.0,1,137,0.11904761904761904,Naive Bayes (Gaussian),0.5239916373463872,0.496778466477151
5.0,2,271,0.11904761904761904,Regresión Logística,0.5215950232012646,0.48748986755081697
5.0,2,271,0.11904761904761904,Naive Bayes (Gaussian),0.5123655091530264,0.450768800212065
5.0,3,314,0.11904761904761904,Regresión Logística,0.5154760083626536,0.5005151755192644
5.0,3,314,0.11904761904761904,Naive Bayes (Gaussian),0.523838661975422,0.43577303923135063
5.0,4,1729,0.11904761904761904,Regresión Logística,0.48416704910509406,0.4362191253595707
5.0,4,1729,0.11904761904761904,Naive Bayes (Gaussian),0.4957421855081332,0.49596187530723185
5.0,5,2718,0.11904761904761904,Regresión Logística,0.5244505634592831,0.49984535453832274
5.0,5,2718,0.11904761904761904,Naive Bayes (Gaussian),0.5273061037173015,0.49508429861435144
5.0,6,3141,0.11904761904761904,Regresión Logística,0.47274488807302023,0.32221400787817883
5.0,6,3141,0.11904761904761904,Naive Bayes (Gaussian),0.48967416245984396,0.4235575554563698
5.0,7,6022,0.11904761904761904,Regresión Logística,0.5313854469430421,0.48817340006244964
5.0,7,6022,0.11904761904761904,Naive Bayes (Gaussian),0.5266942022334404,0.4991299106697292
5.0,8,8128,0.11904761904761904,Regresión Logística,0.5077762480240682,0.5020003715870135
5.0,8,8128,0.11904761904761904,Naive Bayes (Gaussian),0.49885268471776045,0.4883783790340363
5.0,9,9999,0.11904761904761904,Regresión Logística,0.5161898934271583,0.5114134951644685
5.0,9,9999,0.11904761904761904,Naive Bayes (Gaussian),0.522359900056091,0.43042526443243184
5.0,10,10007,0.11904761904761904,Regresión Logística,0.522971801539952,0.5233460561094303
5.0,10,10007,0.11904761904761904,Naive Bayes (Gaussian),0.5299066850237112,0.48765985275554036
5.0,11,11113,0.11904761904761904,Regresión Logística,0.5231247769109173,0.5204328407952954
5.0,11,11113,0.11904761904761904,Naive Bayes (Gaussian),0.5250624649431441,0.4853532990970121
5.0,12,13121,0.11904761904761904,Regresión Logística,0.48625771250828614,0.39748118989244624
5.0,12,13121,0.11904761904761904,Naive Bayes (Gaussian),0.5180765896690632,0.5163875374743945
5.0,13,17171,0.11904761904761904,Regresión Logística,0.4904390393146703,0.484098998440613
5.0,13,17171,0.11904761904761904,Naive Bayes (Gaussian),0.5122635255723829,0.47203225855329234
5.0,14,19273,0.11904761904761904,Regresión Logística,0.4883483759114782,0.4180815933864541
5.0,14,19273,0.11904761904761904,Naive Bayes (Gaussian),0.5215440314109429,0.5189283494984094
5.0,15,23131,0.11904761904761904,Regresión Logística,0.5243995716689613,0.459576688290879
5.0,15,23131,0.11904761904761904,Naive Bayes (Gaussian),0.519606343378716,0.4903831467973886
5.0,16,29327,0.11904761904761904,Regresión Logística,0.527204120136658,0.5195147090128901
5.0,16,29327,0.11904761904761904,Naive Bayes (Gaussian),0.5244505634592831,0.4845600334993616
5.0,17,31193,0.11904761904761904,Regresión Logística,0.508235174136964,0.4929640448655215
5.0,17,31193,0.11904761904761904,Naive Bayes (Gaussian),0.5242975880883178,0.4337618331525612
5.0,18,33391,0.11904761904761904,Regresión Logística,0.5041558309112233,0.46994289262526423
5.0,18,33391,0.11904761904761904,Naive Bayes (Gaussian),0.5067054204273111,0.49155468470547636
5.0,19,37397,0.11904761904761904,Regresión Logística,0.5265922186527969,0.496010872569786
5.0,19,37397,0.11904761904761904,Naive Bayes (Gaussian),0.5188414665238896,0.4617824111923888
10.0,0,42,0.23809523809523808,Regresión Logística,0.5363826423945744,0.41873416836792954
10.0,0,42,0.23809523809523808,Naive Bayes (Gaussian),0.5330681760236602,0.5033811362649214
10.0,1,137,0.23809523809523808,Regresión Logística,0.5294477589108154,0.4880456444987498
10.0,1,137,0.23809523809523808,Naive Bayes (Gaussian),0.5198613023303248,0.4813382503364133
10.0,2,271,0.23809523809523808,Regresión Logística,0.5363316506042527,0.509697451252033
10.0,2,271,0.23809523809523808,Naive Bayes (Gaussian),0.5211870888786906,0.5216748786969477
10.0,3,314,0.23809523809523808,Regresión Logística,0.49569119371781145,0.46350329254234046
10.0,3,314,0.23809523809523808,Naive Bayes (Gaussian),0.4975268981693947,0.485907814749498
10.0,4,1729,0.23809523809523808,Regresión Logística,0.5182805568303503,0.5179114120753601
10.0,4,1729,0.23809523809523808,Naive Bayes (Gaussian),0.5228698179593085,0.5211435412982681
10.0,5,2718,0.23809523809523808,Regresión Logística,0.5352608230074958,0.4805849114815175
10.0,5,2718,0.23809523809523808,Naive Bayes (Gaussian),0.5153740247820101,0.4975347140430848
10.0,6,3141,0.23809523809523808,Regresión Logística,0.5304675947172505,0.527752656731658
10.0,6,3141,0.23809523809523808,Naive Bayes (Gaussian),0.5158329508949059,0.4983692474518056
10.0,7,6022,0.23809523809523808,Regresión Logística,0.4980368160726123,0.4449945148585909
10.0,7,6022,0.23809523809523808,Naive Bayes (Gaussian),0.49808780786293405,0.4902729178156474
10.0,8,8128,0.23809523809523808,Regresión Logística,0.5334251185559125,0.41853629740815335
10.0,8,8128,0.23809523809523808,Naive Bayes (Gaussian),0.5280199887818061,0.40824939093857854
