modelo,epsilon,mean_acc,std_acc,baseline,p_value,delta_pct,significativo_005,p_bonferroni,significativo_bonf
Regresión Logística,0.1,0.5010657284177247,0.021046106448235832,0.6178,1.9073486328125e-06,-18.895155646208377,True,3.4332275390625e-05,True
Regresión Logística,0.5,0.5069272347152107,0.017603893896941947,0.6178,1.9073486328125e-06,-17.946384798444363,True,3.4332275390625e-05,True
Regresión Logística,1.0,0.5019198409056143,0.016837588576322438,0.6178,1.9073486328125e-06,-18.7569050007099,True,3.4332275390625e-05,True
Regresión Logística,5.0,0.5080745499974503,0.017410685715197965,0.6178,1.9073486328125e-06,-17.76067497613301,True,3.4332275390625e-05,True
Regresión Logística,10.0,0.5249069399826629,0.014429275444938577,0.6178,1.9073486328125e-06,-15.03610553857836,True,3.4332275390625e-05,True
Regresión Logística,20.0,0.5393197695171078,0.012630506919352351,0.6178,1.9073486328125e-06,-12.703177481853709,True,3.4332275390625e-05,True
Regresión Logística,50.0,0.5486742134516344,0.004457058041420809,0.6178,1.9073486328125e-06,-11.189023397275113,True,3.4332275390625e-05,True
Regresión Logística,100.0,0.5654352149303963,0.0035179485225058146,0.6178,1.9073486328125e-06,-8.47600923755321,True,3.4332275390625e-05,True
Regresión Logística,200.0,0.5815129264188466,0.0012584206689259996,0.6178,1.9073486328125e-06,-5.873595594230084,True,3.4332275390625e-05,True
Naive Bayes (Gaussian),0.1,0.5101626638111264,0.012493338281928496,0.5912,1.9073486328125e-06,-13.707262548862237,True,3.4332275390625e-05,True
Naive Bayes (Gaussian),0.5,0.5171612870327879,0.009383008675851793,0.5912,1.9073486328125e-06,-12.52346295115225,True,3.4332275390625e-05,True
Naive Bayes (Gaussian),1.0,0.5135179236142982,0.011749966888755669,0.5912,1.9073486328125e-06,-13.139728752655921,True,3.4332275390625e-05,True
Naive Bayes (Gaussian),5.0,0.5168655346489215,0.010899486235344017,0.5912,1.9073486328125e-06,-12.573488726501768,True,3.4332275390625e-05,True
Naive Bayes (Gaussian),10.0,0.5200805670287084,0.011500848729355598,0.5912,1.9073486328125e-06,-12.029674047918054,True,3.4332275390625e-05,True
Naive Bayes (Gaussian),20.0,0.527176074651981,0.011155676120627043,0.5912,1.9073486328125e-06,-10.8294866962143,True,3.4332275390625e-05,True
Naive Bayes (Gaussian),50.0,0.5405282749477334,0.00506600549784384,0.5912,1.9073486328125e-06,-8.570995441858354,True,3.4332275390625e-05,True
Naive Bayes (Gaussian),100.0,0.5532583754015603,0.004271684111529584,0.5912,1.9073486328125e-06,-6.417730818409953,True,3.4332275390625e-05,True
Naive Bayes (Gaussian),200.0,0.5481540971903522,0.0049130867822592865,0.5912,1.9073486328125e-06,-7.281106699872753,True,3.4332275390625e-05,True
