escenario,victima,utility_acc,n_replicas,attack_advantage_mean,attack_advantage_std,attack_advantage_ci95_lo,attack_advantage_ci95_hi,attack_auc_mean,attack_auc_std,attack_auc_ci95_lo,attack_auc_ci95_hi,attack_acc_mean,attack_acc_std,attack_acc_ci95_lo,attack_acc_ci95_hi
Baseline,Regresión Logística,0.6178,20,0.0007,0.0114,-0.0046,0.0061,0.5009,0.0078,0.4973,0.5046,0.5563,0.0047,0.5541,0.5585
Baseline,Random Forest,0.6311,20,0.0032,0.0086,-0.0009,0.0072,0.5028,0.0052,0.5003,0.5052,0.557,0.0042,0.5551,0.559
k=10,Regresión Logística,0.6215,20,-0.0005,0.0113,-0.0057,0.0048,0.4999,0.0079,0.4962,0.5036,0.5559,0.0053,0.5534,0.5584
k=10,Random Forest,0.6352,20,0.0033,0.0118,-0.0022,0.0088,0.5049,0.0071,0.5016,0.5082,0.5565,0.0058,0.5538,0.5592
k=50,Regresión Logística,0.6212,20,0.0019,0.0118,-0.0036,0.0075,0.5012,0.0068,0.498,0.5044,0.5566,0.0061,0.5537,0.5594
k=50,Random Forest,0.6294,20,0.0049,0.0097,0.0003,0.0094,0.5072,0.0061,0.5044,0.51,0.5577,0.0051,0.5553,0.5601
DP ε=0.1,Regresión Logística,0.5267,20,-0.0005,0.0033,-0.002,0.001,0.4989,0.0071,0.4956,0.5022,0.6604,0.0019,0.6595,0.6613
DP ε=1.0,Regresión Logística,0.594,20,-0.0015,0.0124,-0.0073,0.0043,0.498,0.0072,0.4946,0.5013,0.5562,0.0073,0.5528,0.5596
DP ε=10.0,Regresión Logística,0.6175,20,-0.0021,0.0123,-0.0079,0.0037,0.4984,0.007,0.4951,0.5017,0.5559,0.0051,0.5535,0.5583
k=5 + l=5,Regresión Logística,0.6217,20,0.0003,0.0112,-0.0049,0.0055,0.4996,0.0071,0.4963,0.503,0.5549,0.0067,0.5517,0.558
k=5 + l=5,Random Forest,0.6309,20,0.0026,0.0121,-0.0031,0.0083,0.5045,0.0071,0.5012,0.5078,0.5562,0.0063,0.5532,0.5591
k=5 + t=0.25,Regresión Logística,0.6087,20,0.0052,0.0122,-0.0005,0.0109,0.5082,0.0081,0.5044,0.512,0.5576,0.006,0.5548,0.5604
k=5 + t=0.25,Random Forest,0.6278,20,0.0067,0.0102,0.002,0.0115,0.508,0.0076,0.5044,0.5115,0.5581,0.0046,0.5559,0.5602
k=5 + l=5 + t=0.3 (Hard),Regresión Logística,0.6203,20,0.0033,0.0138,-0.0032,0.0097,0.5025,0.0076,0.4989,0.5061,0.557,0.0069,0.5538,0.5602
k=5 + l=5 + t=0.3 (Hard),Random Forest,0.6293,20,0.0049,0.0101,0.0002,0.0096,0.5039,0.0069,0.5006,0.5071,0.5576,0.0053,0.5552,0.5601
