escenario,victima,seed,utility_acc,attack_acc,attack_advantage,attack_auc,rate_member_predicted_1,rate_non_member_predicted_1
Baseline,Regresión Logística,42,0.6178,0.5556,-0.0044,0.4919,0.6712,0.6756
Baseline,Regresión Logística,137,0.6178,0.5627,0.0136,0.511,0.6744,0.6608
Baseline,Regresión Logística,271,0.6178,0.5573,0.0,0.5037,0.672,0.672
Baseline,Regresión Logística,314,0.6178,0.5557,-0.007,0.4969,0.6742,0.6812
Baseline,Regresión Logística,1729,0.6178,0.5513,-0.0084,0.4984,0.6624,0.6708
Baseline,Regresión Logística,2718,0.6178,0.5532,-0.009,0.4951,0.6686,0.6776
Baseline,Regresión Logística,3141,0.6178,0.5533,-0.0064,0.4942,0.6664,0.6728
Baseline,Regresión Logística,6022,0.6178,0.562,0.013,0.5122,0.673,0.66
Baseline,Regresión Logística,8128,0.6178,0.5584,0.0104,0.516,0.6648,0.6544
Baseline,Regresión Logística,9999,0.6178,0.5611,0.0122,0.5106,0.671,0.6588
Baseline,Regresión Logística,10007,0.6178,0.5649,0.0108,0.4994,0.684,0.6732
Baseline,Regresión Logística,11113,0.6178,0.5501,-0.0224,0.4869,0.6728,0.6952
Baseline,Regresión Logística,13121,0.6178,0.5569,0.0054,0.4976,0.6654,0.66
Baseline,Regresión Logística,17171,0.6178,0.5543,-0.0034,0.5032,0.6662,0.6696
Baseline,Regresión Logística,19273,0.6178,0.5461,-0.0218,0.4959,0.6602,0.682
Baseline,Regresión Logística,23131,0.6178,0.5588,0.0108,0.5018,0.6656,0.6548
Baseline,Regresión Logística,29327,0.6178,0.5585,0.006,0.5025,0.6696,0.6636
Baseline,Regresión Logística,31193,0.6178,0.5535,0.001,0.5054,0.6594,0.6584
Baseline,Regresión Logística,33391,0.6178,0.5604,0.0174,0.5058,0.6638,0.6464
Baseline,Regresión Logística,37397,0.6178,0.5524,-0.003,0.4902,0.6602,0.6632
Baseline,Random Forest,42,0.6311,0.5559,-0.0016,0.5057,0.6692,0.6708
Baseline,Random Forest,137,0.6311,0.5553,-0.0012,0.4987,0.6672,0.6684
Baseline,Random Forest,271,0.6311,0.5603,0.0088,0.508,0.672,0.6632
Baseline,Random Forest,314,0.6311,0.5548,0.0038,0.5071,0.6606,0.6568
Baseline,Random Forest,1729,0.6311,0.5581,-0.0014,0.504,0.6758,0.6772
Baseline,Random Forest,2718,0.6311,0.5601,0.0078,0.5001,0.6726,0.6648
Baseline,Random Forest,3141,0.6311,0.5651,0.023,0.5145,0.6722,0.6492
Baseline,Random Forest,6022,0.6311,0.5543,-0.001,0.5028,0.6638,0.6648
Baseline,Random Forest,8128,0.6311,0.5644,0.0116,0.505,0.6816,0.67
Baseline,Random Forest,9999,0.6311,0.5507,-0.0114,0.4941,0.6634,0.6748
Baseline,Random Forest,10007,0.6311,0.5551,0.0,0.4994,0.6652,0.6652
Baseline,Random Forest,11113,0.6311,0.5533,0.0044,0.5002,0.6556,0.6512
Baseline,Random Forest,13121,0.6311,0.5595,0.0056,0.5037,0.6728,0.6672
Baseline,Random Forest,17171,0.6311,0.5515,-0.009,0.497,0.6634,0.6724
Baseline,Random Forest,19273,0.6311,0.5557,-0.0036,0.5017,0.6708,0.6744
Baseline,Random Forest,23131,0.6311,0.5628,0.0208,0.5125,0.6676,0.6468
Baseline,Random Forest,29327,0.6311,0.5596,0.005,0.4991,0.6738,0.6688
Baseline,Random Forest,31193,0.6311,0.5572,0.0042,0.5043,0.6674,0.6632
Baseline,Random Forest,33391,0.6311,0.5508,-0.0052,0.501,0.6576,0.6628
Baseline,Random Forest,37397,0.6311,0.5564,0.0028,0.4963,0.6664,0.6636
k=10,Regresión Logística,42,0.6215,0.5532,-0.0082,0.4955,0.6678,0.676
k=10,Regresión Logística,137,0.6215,0.5472,-0.0184,0.4857,0.66,0.6784
k=10,Regresión Logística,271,0.6215,0.5563,0.0074,0.5059,0.6614,0.654
k=10,Regresión Logística,314,0.6215,0.5579,0.0038,0.5025,0.6698,0.666
k=10,Regresión Logística,1729,0.6215,0.5573,0.0034,0.5008,0.6686,0.6652
k=10,Regresión Logística,2718,0.6215,0.5512,-0.0066,0.4976,0.6602,0.6668
k=10,Regresión Logística,3141,0.6215,0.5551,-0.0052,0.5028,0.6704,0.6756
k=10,Regresión Logística,6022,0.6215,0.564,0.0078,0.5057,0.6842,0.6764
k=10,Regresión Logística,8128,0.6215,0.5472,-0.0178,0.4875,0.6594,0.6772
k=10,Regresión Logística,9999,0.6215,0.5668,0.0218,0.5163,0.6786,0.6568
k=10,Regresión Logística,10007,0.6215,0.5555,0.0046,0.4996,0.6618,0.6572
k=10,Regresión Logística,11113,0.6215,0.5589,0.0028,0.5066,0.674,0.6712
k=10,Regresión Logística,13121,0.6215,0.5572,0.0042,0.504,0.6674,0.6632
k=10,Regresión Logística,17171,0.6215,0.5599,0.019,0.5108,0.6606,0.6416
k=10,Regresión Logística,19273,0.6215,0.5505,-0.0116,0.4912,0.6632,0.6748
k=10,Regresión Logística,23131,0.6215,0.5591,0.0036,0.4984,0.6736,0.67
k=10,Regresión Logística,29327,0.6215,0.548,-0.0188,0.4884,0.6628,0.6816
k=10,Regresión Logística,31193,0.6215,0.5541,-0.0062,0.4942,0.6686,0.6748
